Lukash_Money,0.52,0,0,0.02,0.03,0.16,0.03,0.23,0,0
mashy2,0.81,0,0,0.02,0.12,0.04,0,0,0,0
_chellllle,0,0,0,0,0,0.3,0,0.69,0,0
cathyca_,0.04,0,0,0.02,0,0.05,0.6,0,0.02,0.27
KINGPIZZ,0.04,0,0,0.09,0.03,0.33,0.02,0.47,0.02,0
David_Nagy13,0.82,0,0,0.01,0.11,0.02,0,0.03,0,0
AREONE27,0.36,0.04,0,0.01,0.11,0,0.02,0.45,0,0
xdaisy425x,0,0,0,0,0.02,0.65,0,0.33,0,0
LokilAQW,0.53,0,0,0,0.21,0.07,0.16,0,0.03,0
Alex_Siber,0.21,0.01,0,0,0.38,0.16,0.05,0.15,0.02,0
ettbrowneyes,0.08,0,0,0.01,0.5,0.17,0,0.23,0,0
wgarrido_,0,0,0,0,0,0,0,0,0,0.99
Savosaurus,0.05,0.02,0,0.03,0.07,0.64,0.16,0.02,0,0
therealCG502,0.61,0,0,0,0.1,0.09,0,0.02,0.17,0
margweston,0.02,0.02,0,0,0.05,0.04,0.87,0,0,0
_Farad,0,0,0,0,0.03,0.39,0,0.04,0.53,0
rofesta,0,0,0,0,0,0,0,0,0,1.0
Privitheus,0,0.36,0,0.06,0.51,0,0,0,0.06,0
gracianana,0,0.01,0,0,0,0.15,0,0,0.84,0
hawaiiianlion,0.04,0,0,0,0.05,0.49,0.01,0.4,0,0
FlockWithFlacko,0.17,0,0,0,0.02,0.13,0.03,0.62,0.01,0
jennamzh,0,0,0,0,0,0.95,0,0.05,0,0
ShaeMallory,0,0,0,0,0,0.44,0,0.56,0,0
iiFucked_Swagg,0,0,0,0,0,0.08,0,0.92,0,0
_anggithartiwi,0,0.04,0,0.1,0,0,0,0,0.84,0.01
MerabGro,0,0,0,0,0,0.05,0,0.02,0,0.92
dickclucas,0.15,0.11,0,0,0.23,0.1,0.37,0.03,0.01,0
syphm1,0,0,0,0.07,0,0.48,0,0.31,0.13,0
Ary_Bacardi,0.06,0,0,0,0,0,0,0.93,0,0
hkky49mi,0.49,0.03,0.03,0.03,0.03,0.03,0.03,0.31,0.03,0.03
AyyCeci,0.06,0.02,0,0,0.06,0.54,0.02,0.3,0,0
SneakerDorian,0.04,0,0,0,0,0.04,0,0.9,0,0
Prosperos_isle,0,0,0,0.21,0.46,0,0.32,0,0,0
Rikuninchen,0.29,0.28,0,0.11,0.01,0.2,0.02,0,0.06,0.01
K9DoodiePatolr,0.2,0.02,0,0,0.33,0,0.36,0.06,0.04,0
DFK007,0.02,0,0,0.26,0.16,0.17,0.35,0.04,0,0
AnaR915,0.13,0,0,0,0.31,0.48,0,0,0.05,0.03
davidsting414,0.23,0.06,0,0.05,0.04,0.05,0.57,0,0,0
CANNIBOOTY,0.01,0,0,0,0.08,0.86,0.03,0,0,0
FereshtehEmami,0,0,0,0.38,0.15,0.33,0.14,0,0,0
M4D31YN,0.17,0.01,0,0.02,0.1,0.67,0,0.02,0,0
_wadem,0.12,0.04,0,0.22,0.43,0.01,0.18,0,0,0
mightyreds,0.03,0,0,0.91,0,0.04,0,0.02,0,0
PabloScordo1,0,0,0,0,0,0,0.26,0,0,0.74
nextto16,0,0,0,0,0,0.97,0,0.03,0,0
Faklasher,0.05,0,0,0.1,0,0.55,0.14,0.1,0.04,0
Seandonovan94,1.0,0,0,0,0,0,0,0,0,0
JLee_Hadley,0.07,0,0,0.02,0.12,0.19,0.01,0.59,0,0
ceeyoutea,0.04,0,0,0,0.08,0.82,0.02,0.03,0,0
MCNtweets,0.38,0,0,0.02,0.17,0.22,0.18,0,0.02,0
skkelley_17,0,0,0,0,0.04,0.87,0,0.08,0,0
abcdefgayy,0,0,0,0,0,0.71,0,0.28,0,0
demihomo,0.06,0.02,0,0,0.2,0.63,0.07,0,0.02,0
LuciDeacon,0,0,0,0,0,0.93,0,0.07,0,0
Tony_Jorden,0,0,0,0,0,0.84,0,0.16,0,0
tasha_amy92,0.01,0,0,0.12,0.06,0.66,0.02,0.12,0,0
CajsaJacobsen,0.1,0.01,0,0,0.28,0.58,0,0,0.02,0
Ellie_Macintyre,0,0,0,0.06,0.12,0.77,0.04,0,0,0
TayelfylorKloss,0.08,0.03,0,0.05,0.05,0.72,0,0,0.05,0.02
daddylyrical,0,0,0,0,0,0,0,0.99,0,0
firripwang,0.15,0,0,0,0,0.06,0,0.78,0,0
IamCj005,0.07,0,0,0.36,0.3,0,0.07,0,0.19,0
Mw2Alsaif,1.0,0,0,0,0,0,0,0,0,0
OutSpoken_PB,0,0,0,0,0,0.16,0,0.67,0.17,0
stephengood08,0.02,0,0,0.39,0.39,0.18,0,0.02,0,0
temporlarriefix,0.04,0,0,0,0,0.92,0,0,0.04,0
OhHi_ImDamoo,0,0,0,0,0.02,0.15,0,0.83,0,0
wtvmollie,0.04,0,0,0,0.02,0.75,0.12,0.07,0,0
PureSoccerTV,0,0,0,0.96,0,0,0.04,0,0,0
EServanF,0.18,0,0,0.05,0.05,0.08,0.12,0.03,0.03,0.46
hidayahaha,0,0,0,0,0,0.05,0,0,0.95,0
Ank_yuma1209,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05
CiscoEngineers,0,0.04,0,0.03,0.19,0,0.73,0,0,0
ontarioweeds,0,0,0,0,0,0.83,0,0.14,0,0.02
kina_yanae15,0,0,0,0,0,0.1,0,0.89,0,0
wssx_,0,0.12,0.01,0,0.07,0.31,0,0.13,0.36,0
opalitetears,0,0,0,0,0,0.67,0,0.32,0,0
jaileneeeeee_,0,0,0,0,0,0.46,0,0.54,0,0
WhitneyEricksen,0,0,0,0,0,0.95,0,0.05,0,0
nmpanek,0.05,0.04,0,0.02,0.34,0.02,0.53,0,0,0
samacharsar,0,0.2,0,0.19,0,0.34,0.26,0,0,0
bxndhearts,0.05,0.01,0,0,0.02,0.87,0,0.02,0.02,0
Jag3Dagster,0.35,0.01,0,0,0.29,0.28,0.06,0,0,0
NotMyMoney_,0.18,0.02,0,0.03,0,0.05,0.68,0,0.03,0
MeLza_17,0.1,0,0,0.81,0.05,0,0,0,0.03,0
SevenEasyWays,0,0,0,0,0.67,0,0.28,0,0,0.04
RaceLies,0.16,0,0,0,0,0,0.82,0.02,0,0
TikeGooden,0.73,0,0,0.01,0.13,0.02,0,0.1,0,0
CheennyC,0,0,0,0,0,0.56,0,0.02,0.27,0.15
_NYOx,0,0,0.24,0,0,0.55,0,0.08,0.12,0
wheresmyCARlos,0.39,0,0,0,0.02,0.32,0,0.26,0,0
WlassM,0,0.76,0,0,0,0,0,0,0.08,0.13
Saamhmz,0,0,0,0.95,0,0,0,0.02,0,0.03
owen_main,0.06,0,0,0.52,0,0.36,0,0.06,0,0
ARTORICAL,0.19,0.08,0,0.08,0.21,0.08,0.34,0,0.01,0
brilicarixx,0.06,0.04,0,0,0,0.66,0.01,0.23,0,0
LostAtSea96,0,0,0,0,0,0.76,0,0.23,0,0
freudianquips,0.05,0,0,0,0.16,0.61,0.1,0.06,0,0
D_Banx,0.2,0,0,0,0.05,0.05,0,0.69,0,0
FaiiFanism,0,0.03,0,0.01,0.7,0,0,0,0.25,0
CandisHooley,0,0,0,0,0,0.89,0,0.11,0,0
imbackUmbach,0.07,0,0,0,0.04,0.84,0,0.04,0,0
TitosTweets,0.81,0,0,0.01,0.02,0.11,0,0.04,0,0
ovidiuebufnila,0,0,0,0,0.32,0,0.29,0,0.39,0
NareshI87476843,0,0,0,0,0,0,0,0,1.0,0
Lindouush_,0,0.01,0,0.84,0,0.05,0,0,0,0.11
DawayneGadis,0.02,0,0,0,0.14,0.17,0,0.62,0.04,0
Missus_Johnson,0.05,0,0,0.07,0.52,0.36,0,0,0,0
rhylie_pantts,0.04,0,0,0,0.01,0.82,0.03,0.1,0,0
danaalarbeed_,0,0,0,0,0,0.83,0,0.14,0.02,0
syqinnygenes,0,0.02,0,0.03,0.32,0.52,0.03,0.03,0.05,0
wana35584931,0,0,0,0,0,0,0.95,0,0,0
political_ppl,0,0,0,0,0.33,0.04,0.63,0,0,0
mr_solivigant,0.03,0,0,0.02,0.07,0.28,0.6,0,0,0
ashishkelo,0,0,0,0,0,0,0.04,0,0,0.96
VennStRecords,0,0,0,0.13,0.85,0.01,0,0,0,0
dbigmark,0.07,0,0,0.87,0,0,0.04,0,0,0
sailonnarry,0.08,0.05,0,0.04,0.3,0.47,0,0,0.05,0
OSimoka,0.1,0.15,0,0.12,0.33,0,0.25,0,0.02,0.02
G_Amber,0.05,0.03,0,0.5,0,0.35,0.04,0,0,0.02
07307jcsc,0,0,1.0,0,0,0,0,0,0,0
amerr_aref,0,0,0,0.11,0,0.35,0.04,0.02,0.46,0
aida_almiron,0,0,0,0,0,0,0,0,0,1.0
L_PVCO,0.35,0,0,0,0.32,0.05,0.01,0.26,0,0.01
CarlaA_13,0,0,0,0,0,0,0,0,0,1.0
Rwan_alshehri83,0,0,0,0,0,0.46,0.48,0,0,0
Anna8x8,0.01,0.03,0,0,0.04,0.92,0,0,0,0
DayleGifford,0,0,0,0.36,0.04,0.53,0,0.07,0,0
norma_dunham,0.04,0.13,0,0,0,0.04,0.78,0,0,0
HanFreakinSolo,0.22,0,0,0,0.12,0.44,0.21,0.01,0,0
longliveniya,0.03,0,0,0,0.02,0.33,0.03,0.58,0,0
ItsSubject,0.33,0,0,0,0.17,0.1,0.07,0.33,0,0
UpasanaGagan,0,0,0,0,0,0,0,0,1.0,0
nokidrauhls,0,0,0,0,0.37,0.44,0,0.02,0.07,0.09
DapperDonDevin,0.08,0,0,0,0,0.26,0.05,0.6,0,0
__bartonn,0,0,0,0.04,0,0.92,0,0.04,0,0
boobearluvx,0.15,0,0,0.16,0.17,0.46,0,0.02,0.03,0
vaalouuz,0,0.08,0,0.77,0,0.07,0,0,0,0.07
PoloVargas_3,0.3,0,0,0.28,0.03,0.36,0,0.01,0,0.01
MorenaCardella,0,0,0,0,0,0,0,0,0,1.0
DarkheartUnique,0.05,0.03,0,0,0.12,0.74,0.04,0.01,0,0
jordangroeningx,0,0,0,0,0,0.95,0,0.03,0,0
TayskiOutInCali,0.16,0,0,0,0,0,0,0.83,0,0
Lifefactss__,0.02,0,0,0,0.01,0.71,0.26,0,0,0
LnceTbfnda,0.18,0,0,0.06,0.03,0.19,0,0,0.19,0.34
SillyLili_11,0.13,0,0,0,0,0.67,0,0.2,0,0
Mhalia11,0,0,0,0,0.19,0.03,0,0,0.5,0.28
Jenn_Benn,0.04,0.01,0,0.02,0.65,0.22,0.06,0,0,0
StSinner1,0.33,0.24,0,0.03,0.07,0,0.07,0,0,0.25
MohdAriadi,0,0,0,0,0,0.39,0,0.06,0.55,0
wh__destiny,0,0,1.0,0,0,0,0,0,0,0
SnipinSully,0.62,0,0,0.06,0.02,0.15,0,0.14,0,0
katiagalicia,0.05,0.02,0,0.08,0.44,0.39,0,0.01,0,0
Flavviie_,0,0,0,0,0.02,0.97,0,0,0,0
j_Chivas29,0.08,0.04,0,0,0.03,0.12,0,0.67,0,0.04
herr_rockn,0.15,0.24,0,0,0.25,0.01,0.3,0,0.05,0
ChriSaunders,0.18,0.02,0,0,0.04,0.67,0,0.08,0,0
juancaimarek,0,0,0,0,0,0,0,0,0,1.0
mochekke,0.04,0,0,0,0.11,0.79,0.04,0.02,0,0
cathi_serra,0,0,0,0,0,0.7,0,0.28,0,0
olddouche,0.07,0,0,0,0.03,0.67,0.05,0.17,0,0
Claire_Ros27,0.05,0,0,0,0.33,0.07,0,0,0.26,0.29
T_Rex93a,0,0,0,0,0.04,0.37,0,0.58,0,0
ArthaBliss,0,0,0,0,0.22,0.15,0,0,0.34,0.28
LaBella_Diamond,0,0,0,0,0.38,0.27,0,0.35,0,0
__RAWood,0.19,0,0,0,0.12,0.5,0.02,0.16,0,0
03872trdb,0,0,1.0,0,0,0,0,0,0,0
BeneGae,0.39,0,0,0.01,0.04,0.24,0,0.25,0.06,0
RudeMarto,0,0,0,0,0,0.02,0,0.05,0,0.92
alexa_grant,0.09,0,0,0,0.02,0.39,0.03,0.45,0,0
unboundpage,0.13,0.16,0,0,0.26,0.25,0.19,0,0,0
AarynMasangcay,0.02,0,0,0,0.07,0.34,0.01,0.55,0,0
Scoarnec2,0,0,0,0.93,0,0,0,0.03,0,0.04
alvaromontes725,0.08,0,0,0.69,0.02,0.15,0,0.01,0,0.04
yuka15918010,0.01,0.01,0.01,0.38,0.52,0.01,0.01,0.01,0.01,0.01
Iza_RochaMatos,0.1,0,0,0.02,0.25,0.41,0,0.05,0.06,0.11
eddyvera0,0,0,0,0,0,0.5,0,0.49,0,0
indy_velez,0.01,0,0,0,0,0.47,0,0.51,0,0
teeacupppp,0,0,0,0,0,0.56,0,0.41,0.02,0
arctichowll,0,0,0,0,0.08,0.76,0,0.01,0.11,0.03
difarmesa,0,0,0,0,0,0,0,0,0,1.0
LesslyDmgz,0.06,0,0,0,0.02,0.5,0,0.17,0,0.25
bbcottt,0,0,0,0,0,0.44,0,0.56,0,0
KathyBunny,0,0,0,0,0,0.55,0,0.45,0,0
samife101,0,0.12,0,0,0.06,0,0.09,0,0.73,0
dreamcastpop,0.17,0,0,0,0.15,0.58,0,0.08,0,0
rafaelkwesley,0,0,0,0.05,0,0,0,0,0,0.95
WickedAngelLil,0.23,0,0,0,0.06,0.52,0.17,0.02,0,0
hayleymccutie,0.03,0,0,0,0.06,0.83,0,0.06,0,0
EmmaDarch,0.04,0,0,0,0.12,0.72,0,0.11,0,0
FriidaaNilsson,0.06,0,0,0,0,0.82,0,0.1,0,0
glynncharn,0.05,0,0,0.72,0.08,0.12,0,0.03,0,0
FaZePryZee,0.92,0,0,0,0,0,0,0.07,0,0
followme_ok,0,1.0,0,0,0,0,0,0,0,0
Nick_Pettigrew,0.11,0,0,0.16,0.12,0.43,0.16,0.01,0,0
akshay_chauhan,0.04,0,0,0.09,0.11,0.23,0.17,0.05,0.3,0
Wimwanud,0,0.01,0,0,0.02,0.9,0,0.02,0.03,0
incorrperated,0.16,0.02,0,0,0,0.67,0.08,0.06,0,0
Nine_Inch_Beef,0.04,0,0,0.01,0.1,0.3,0,0.53,0,0
Lau_deRiiveyra,0,0,0,0,0,0,0,0,0,0.99
EventStylingZA,0,0.91,0,0.08,0.01,0,0,0,0,0
jak_paddy,0,0,0,0.12,0,0.69,0,0.2,0,0
Dino_Saur1,0.32,0.01,0,0,0.11,0.32,0.07,0.04,0.12,0
PhatCapBeats,0.8,0.02,0,0,0,0,0,0.18,0,0
amndlno,0,0,0,0,0,0.08,0,0.19,0.5,0.22
EskimoKeleher,0.71,0,0,0.04,0.09,0.14,0,0.02,0,0
katmbenno,0.04,0,0,0.67,0.09,0.17,0,0.01,0.01,0
norihure_ne8949,0.02,0.31,0.02,0.2,0.02,0.02,0.02,0.02,0.02,0.37
udaqueness,0.31,0.09,0,0,0,0.3,0.28,0,0,0.03
ellie_keller21,0.01,0,0,0,0.05,0.79,0,0.15,0,0
EnrichettaWarde,0,0,0,0,0,0.9,0,0.1,0,0
akash_emraan,0.01,0,0,0,0.27,0,0,0,0.7,0
kyunggaysoo,0,0.31,0,0,0,0,0,0,0.5,0.19
KingTBerry,0.03,0,0,0.28,0.05,0.1,0.01,0.43,0.09,0
stephmarylee,0,0,0,0,0,0.36,0,0.64,0,0
zaefromda9,0,0,0,0,0,0.03,0,0.97,0,0
MadMacdonald,0.05,0,0,0,0.15,0.65,0.02,0.13,0,0
IAintShxt_Yet,0,0,0,0,0.69,0,0,0.3,0,0
_chelllle_,0.18,0,0,0.01,0.14,0.6,0.01,0.05,0,0
sabrinamurphy_,0.07,0,0,0,0.02,0.69,0,0.21,0,0
valentinaaaaaxx,0.01,0,0,0,0.02,0.86,0,0.09,0.02,0
Live_Love_Nice,0,0.01,0,0,0.04,0.28,0,0.64,0.02,0
rentaterminal,0,0.05,0.01,0.12,0,0,0.82,0,0,0
TrolleyMaushi,0,0,0,0.02,0.2,0,0,0,0.78,0
samiran1109,0.13,0.06,0,0.03,0.03,0,0.74,0,0.01,0
ijatsnake,0.03,0.02,0,0.01,0,0.36,0.15,0.17,0.26,0
LakeshaAntoniew,0,0,0,0,0,0,0,0,0,1.0
amit_chodhary,0,0,0,0,0,0,0,0,1.0,0
mohammed7579,0,0,0,0.99,0,0,0,0,0,0
ZombieBabyyy,0,0,0,0,0,0.45,0,0.55,0,0
Louiestowell,0.02,0,0,0,0.4,0.33,0.24,0,0,0
teamleaa,0.1,0.03,0,0.02,0.79,0,0,0,0.04,0.02
AlexandraTihane,0.03,0.02,0,0,0,0.82,0.08,0.03,0.01,0
Liizzzzyyy,0.04,0.01,0.13,0.02,0.04,0.53,0,0.04,0.18,0
IntensiveAIM,0.19,0.01,0,0.19,0.52,0,0,0.08,0.01,0
yuukiandryuunen,0.04,0.39,0,0.03,0.15,0.26,0,0.09,0.02,0
foneribby,0,0,0,0.24,0.61,0.13,0.01,0,0,0
BilyRobledo,0.15,0.07,0,0.03,0,0,0.47,0,0.04,0.25
LadiiYams,0,0,0,0,0.03,0.05,0,0.9,0,0
carina_andrada,0,0,0,0,0,0,0,0,0,1.0
pete_stanley,0.13,0.05,0,0.25,0.39,0.15,0.02,0,0,0
davidclee818,0,0.14,0,0,0.07,0.6,0.16,0,0,0
AnonDitto,0.11,0,0,0,0,0.32,0.05,0.49,0.02,0
JoachimBeckh,0,0.15,0,0,0,0,0.85,0,0,0
dmfa20915,0,0,1.0,0,0,0,0,0,0,0
Dukong_taeng,0.02,0.01,0,0,0.35,0.04,0,0,0.55,0.01
Fr3nchfry1,0,0,0,0,0.07,0.56,0.02,0.35,0,0
ClusterCOD,0.54,0,0,0.03,0.11,0.1,0,0.22,0,0
nouranatasha,0,0,0,0,0,0.41,0,0.1,0.49,0
karaagetencho,0.46,0,0,0.35,0.15,0,0,0,0.04,0
Fuuggz,0,0,0,0,0.01,0.86,0,0.11,0,0
02633gnlc,0,0,1.0,0,0,0,0,0,0,0
Thaisbfelippe,0,0,0,0,0.07,0.65,0,0.08,0.02,0.18
formvalidation,0,0.03,0,0,0.18,0,0.79,0,0,0
iammaf_,0.02,0.03,0,0.13,0,0.03,0,0.02,0.76,0
shilah_boo17,0,0,0,0,0.13,0.29,0.14,0.4,0.04,0
RichardYoungSt,0.35,0.02,0,0.01,0.03,0.44,0.1,0.04,0,0
meganmcgee_,0,0,0,0,0,0.92,0,0.07,0,0
MustWantedMX,0,0.21,0,0.08,0.09,0.06,0,0,0,0.57
lillie_stark,0,0,0,0.02,0,0.68,0.02,0.27,0,0
KristieGnar,0.07,0,0,0,0.1,0.63,0.02,0.18,0,0
BiskuitOreo,0,0.17,0,0.05,0,0,0,0,0.74,0.03
johnnychronix,0.3,0.05,0,0,0.29,0.23,0.08,0.03,0.01,0
riccardossigeno,0,0.05,0,0.1,0,0,0.03,0,0,0.82
indotix,0,0.04,0,0,0,0,0,0,0.96,0
Qubammish,0,0.01,0,0,0.26,0.26,0.15,0.05,0.25,0
Christinaaa__xo,0.09,0.02,0,0,0.09,0.77,0,0.04,0,0
CrystalKuehl,0.04,0.01,0,0,0.76,0.18,0,0,0,0
brk_news_now,0.04,0,0,0.01,0,0,0.95,0,0,0
_Marseille,0.02,0.1,0,0,0.56,0.1,0.04,0.14,0.03,0
Lesbicanarias,0.09,0,0,0.02,0.21,0.11,0.09,0.02,0.01,0.45
cindyjuarez6,0,0,0,0,0.4,0.37,0.02,0.2,0,0
breendapillai_,0,0.05,0,0,0.03,0.86,0,0.03,0.03,0
erectionchan,0.42,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
_romelie22,0,0,0,0,0,0.75,0,0.04,0.16,0.05
_Telebah,0,0,0,0,0.01,0.65,0.04,0.29,0,0
CelineDionFans2,0,0.08,0.78,0,0.14,0,0,0,0,0
Tyler_Stunt,0.03,0,0,0.01,0.15,0,0,0.7,0.1,0
KendallRegina,0,0,0,0,0,0.65,0,0.33,0,0
Scottiesls,0.07,0,0,0,0.01,0.79,0,0.12,0,0
maryumizme,0,0,0,0,0.04,0.68,0.03,0.04,0.22,0
Deluxe_922,0.58,0,0,0,0.11,0.1,0,0.2,0,0
DebiSnyder,0.43,0,0,0.01,0.22,0.24,0.09,0.01,0,0
sideSHOWtoma,0.17,0,0,0,0.03,0.32,0.17,0.18,0.11,0
jakevball,0.42,0,0,0,0,0.37,0,0.2,0,0
Delossantosccp,0,0,0,0,0,0.35,0,0.65,0,0
kiala3nidad,0,0.02,0,0,0.01,0.7,0,0.09,0.07,0.1
MarketThought1,0,0,0,0,0.2,0,0.72,0,0.08,0
LucasGraells,0,0,0,0,0,0,0,0,0,1.0
NaraLeidy,0,0,0,0,0,0,0,0,0,1.0
TheJhongTitle,0,0,0,0,0.06,0.72,0,0.04,0.13,0.06
NorpolFootball,0,0,0,0.8,0.04,0,0.15,0,0,0
wz_p7,0.03,0.03,0.03,0.03,0.03,0.48,0.32,0.03,0.03,0.03
Babthorpe,0.01,0,0,0.29,0.12,0.54,0,0.04,0,0
belieberxx97,0,0,0,0,0.9,0.04,0,0,0.05,0
Neptbell,0.23,0.01,0,0.03,0.29,0.15,0.02,0,0.01,0.27
PrimateMgmt,0,0.03,0,0,0.97,0,0,0,0,0
gjdhddd,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05
itslinamarie,0.06,0,0,0.03,0.48,0.26,0,0.17,0,0
swadeshnews,0.07,0,0,0,0,0,0.9,0,0.03,0
lifenutrition,0,0,0,0,0.23,0,0.74,0,0.03,0
wiz_ibro,0,0,0,0,0,0,0,0.07,0.92,0
MecitTUFEKCIOLU,0,0,0,0,0,0,0.18,0,0.17,0.61
__XIXVIII,0,0,0,0,0,0,0,0.99,0,0
Makakaila,0.02,0,0,0.04,0.04,0.39,0.47,0.04,0,0
krohn_dome,0.51,0,0,0.01,0.11,0.19,0.14,0,0.02,0
i_hjoor,0,0,0,0,0.02,0.78,0,0.03,0.17,0
viDhavii_,0,0,0,0.23,0,0,0,0,0.74,0.02
Isabellaa_h,0,0,0,0,0,0.18,0,0,0.54,0.27
seandoncito,0.57,0,0,0,0,0.03,0,0.38,0,0
MyBoysMumx2,0,0,0,0.07,0.17,0.65,0.05,0.05,0,0
CaliGamer87,0.57,0,0,0,0,0,0,0,0,0.42
JessiFreerickss,0,0,0,0,0,0.89,0,0.11,0,0
gurnardd,0.06,0,0,0.12,0,0.57,0,0.23,0,0
nntacya,0,0,0,0,0.28,0.71,0,0,0,0
fxzxe,0,0,0,0,0,0.06,0.02,0.01,0.92,0
JohnLouca,0,0,0,0,0.02,0.66,0.03,0.26,0.03,0
0313sexy_kento,0.6,0.34,0,0,0,0,0,0,0,0
